date,hour,metric,price
2015-01-27,11,Avg. Price,36.55
2015-01-27,12,Avg. Price,34.71
2015-01-27,13,Avg. Price,33.2
2015-01-27,14,Avg. Price,32.13
2015-01-27,15,Avg. Price,31.37
2015-01-27,16,Avg. Price,33.08
2015-01-27,17,Avg. Price,34.21
2015-01-27,18,Avg. Price,34.93
2015-01-27,19,Avg. Price,29.62
2015-01-27,20,Avg. Price,25.92
2015-01-27,21,Avg. Price,22.57
2015-01-27,22,Avg. Price,15.22
2015-01-27,23,Avg. Price,13.35
2015-01-28,0,Avg. Price,13.13
2015-01-28,1,Avg. Price,20.05
2015-01-28,2,Avg. Price,18.89
2015-01-28,3,Avg. Price,18.61
2015-01-28,4,Avg. Price,22.32
2015-01-28,5,Avg. Price,24.06
2015-01-28,6,Avg. Price,29.32
2015-01-28,7,Avg. Price,38.29
2015-01-28,8,Avg. Price,36.38
2015-01-28,9,Avg. Price,29.71
2015-01-28,10,Avg. Price,26.85
2015-01-28,11,Avg. Price,26.92
2015-01-28,12,Avg. Price,25.48
2015-01-28,13,Avg. Price,25.48
2015-01-28,14,Avg. Price,26.3
2015-01-28,15,Avg. Price,27.08
2015-01-28,16,Avg. Price,37.99
2015-01-28,17,Avg. Price,43.15
2015-01-28,18,Avg. Price,43.02
2015-01-28,19,Avg. Price,40.95
2015-01-28,20,Avg. Price,36.09
2015-01-28,21,Avg. Price,35.17
2015-01-28,22,Avg. Price,28.39
2015-01-28,23,Avg. Price,27.56
2015-01-29,0,Avg. Price,20.96
2015-01-29,1,Avg. Price,19.72
2015-01-29,2,Avg. Price,13.32
2015-01-29,3,Avg. Price,12.82
2015-01-29,4,Avg. Price,12.17
2015-01-29,5,Avg. Price,15.6
2015-01-29,6,Avg. Price,25.5
2015-01-29,7,Avg. Price,27.07
2015-01-29,8,Avg. Price,27.43
2015-01-29,9,Avg. Price,26.16
2015-01-29,10,Avg. Price,26.4
2015-01-29,11,Avg. Price,26.74
2015-01-29,12,Avg. Price,26.3
2015-01-29,13,Avg. Price,25.34
2015-01-29,14,Avg. Price,22.11
2015-01-29,15,Avg. Price,22.44
2015-01-29,16,Avg. Price,22.55
2015-01-29,17,Avg. Price,27.17
2015-01-29,18,Avg. Price,32.48
2015-01-29,19,Avg. Price,26.07
2015-01-29,20,Avg. Price,22.31
2015-01-29,21,Avg. Price,23.62
2015-01-29,22,Avg. Price,22.39
2015-01-29,23,Avg. Price,22.11
2015-01-30,0,Avg. Price,20.56
2015-01-30,1,Avg. Price,19.6
